c_name,c_custkey,o_orderkey,o_orderdate,o_totalprice,sum_qty
Customer#001287812,1287812,42290181,1997-11-26,558289.17,318.00
Customer#001093786,1093786,5746311,1996-10-10,513757.93,302.00
Customer#001492924,1492924,18152960,1998-02-17,512954.28,305.00
Customer#001374451,1374451,5489475,1997-05-23,505059.18,311.00
Customer#001235618,1235618,14891232,1992-05-30,502746.90,311.00
Customer#000391210,391210,26587169,1996-01-19,502318.70,306.00
Customer#001143101,1143101,52415075,1996-05-10,501221.45,312.00
Customer#000954800,954800,42359809,1996-03-09,500726.71,305.00
Customer#000018472,18472,22291718,1992-09-03,500694.69,306.00
Customer#001000024,1000024,59057792,1993-12-30,500422.55,314.00
Customer#000569749,569749,33002339,1993-10-09,499928.12,306.00
Customer#000035656,35656,2329187,1998-01-04,497858.67,304.00
Customer#000518995,518995,15104033,1995-02-03,497743.61,308.00
Customer#001291849,1291849,31192034,1993-09-05,497050.74,309.00
Customer#000242576,242576,43438883,1992-11-27,496298.09,314.00
Customer#000385288,385288,51929955,1993-04-19,495841.65,304.00
Customer#000903416,903416,22789733,1997-06-18,494910.15,303.00
Customer#000608233,608233,28092902,1997-03-23,494174.42,306.00
Customer#001000373,1000373,18200676,1994-06-22,494028.41,307.00
Customer#001106326,1106326,23906277,1997-03-20,492526.67,314.00
Customer#001200979,1200979,1971680,1995-06-14,492188.43,308.00
Customer#000237835,237835,42146816,1996-05-24,491883.49,301.00
Customer#000509131,509131,43952871,1996-10-11,491413.92,301.00
Customer#001014283,1014283,53407847,1996-09-02,490944.06,304.00
Customer#001303807,1303807,49461377,1996-11-08,489054.75,303.00
Customer#001300402,1300402,31932481,1995-04-14,487828.61,302.00
Customer#000441086,441086,40376484,1993-08-05,487725.38,307.00
Customer#000497002,497002,15394692,1996-03-13,486523.26,302.00
Customer#000830836,830836,32766721,1995-01-27,485962.64,306.00
Customer#001151815,1151815,55722822,1995-08-24,485654.49,316.00
Customer#000850192,850192,29805379,1994-06-07,483666.61,302.00
Customer#001050517,1050517,23062983,1998-04-04,482991.96,301.00
Customer#000338563,338563,56217669,1994-10-22,482452.83,303.00
Customer#000389180,389180,13185729,1995-08-02,481346.17,305.00
Customer#001059943,1059943,2096705,1994-07-03,480888.10,307.00
