s_name,numwait
Supplier#000005627,25
Supplier#000050909,22
Supplier#000086866,22
Supplier#000000380,20
Supplier#000023476,20
Supplier#000024141,20
Supplier#000024897,20
Supplier#000026293,20
Supplier#000030617,20
Supplier#000040941,20
Supplier#000050027,20
Supplier#000062259,20
Supplier#000065546,20
Supplier#000071309,20
Supplier#000082089,20
Supplier#000010914,19
Supplier#000015387,19
Supplier#000016809,19
Supplier#000026191,19
Supplier#000029798,19
Supplier#000031065,19
Supplier#000033271,19
Supplier#000034761,19
Supplier#000047164,19
Supplier#000067188,19
Supplier#000069074,19
Supplier#000071111,19
Supplier#000079476,19
Supplier#000094487,19
Supplier#000095375,19
Supplier#000005436,18
Supplier#000005848,18
Supplier#000006128,18
Supplier#000006624,18
Supplier#000008394,18
Supplier#000009436,18
Supplier#000028513,18
Supplier#000029081,18
Supplier#000030919,18
Supplier#000041460,18
Supplier#000042380,18
Supplier#000042605,18
Supplier#000042721,18
Supplier#000042811,18
Supplier#000044202,18
Supplier#000047301,18
Supplier#000054202,18
Supplier#000055497,18
Supplier#000056996,18
Supplier#000062292,18
Supplier#000064954,18
Supplier#000077381,18
Supplier#000084283,18
Supplier#000091546,18
Supplier#000003372,17
Supplier#000005236,17
Supplier#000006693,17
Supplier#000010213,17
Supplier#000012471,17
Supplier#000014024,17
Supplier#000014364,17
Supplier#000014877,17
Supplier#000018741,17
Supplier#000019020,17
Supplier#000019475,17
Supplier#000023969,17
Supplier#000024017,17
Supplier#000024738,17
Supplier#000026655,17
Supplier#000027632,17
Supplier#000029619,17
Supplier#000030754,17
Supplier#000032695,17
Supplier#000032902,17
Supplier#000042699,17
Supplier#000044462,17
Supplier#000045112,17
Supplier#000046669,17
Supplier#000050843,17
Supplier#000051474,17
Supplier#000052829,17
Supplier#000052884,17
Supplier#000054545,17
Supplier#000057701,17
Supplier#000059198,17
Supplier#000059377,17
Supplier#000062799,17
Supplier#000064233,17
Supplier#000068401,17
Supplier#000071894,17
Supplier#000074806,17
Supplier#000077823,17
Supplier#000080264,17
Supplier#000083230,17
Supplier#000085973,17
Supplier#000093193,17
Supplier#000095845,17
Supplier#000098977,17
Supplier#000001058,16
Supplier#000001390,16
