nation,o_year,sum_profit
ALGERIA,1998,271503999.83
ALGERIA,1997,457035907.97
ALGERIA,1996,457125120.39
ALGERIA,1995,460972418.02
ALGERIA,1994,456444895.71
ALGERIA,1993,456449846.24
ALGERIA,1992,459548275.12
ARGENTINA,1998,277792937.10
ARGENTINA,1997,467555834.03
ARGENTINA,1996,473886110.45
ARGENTINA,1995,468457178.23
ARGENTINA,1994,467071882.01
ARGENTINA,1993,469523910.86
ARGENTINA,1992,471169593.60
BRAZIL,1998,278152954.01
BRAZIL,1997,460597152.13
BRAZIL,1996,465471524.69
BRAZIL,1995,466391896.87
BRAZIL,1994,466833610.76
BRAZIL,1993,458908693.86
BRAZIL,1992,468249410.42
CANADA,1998,275439054.16
CANADA,1997,474082013.96
CANADA,1996,477716501.90
CANADA,1995,473132495.56
CANADA,1994,481016527.84
CANADA,1993,472953473.93
CANADA,1992,481805557.70
CHINA,1998,272070593.72
CHINA,1997,455987052.50
CHINA,1996,461550513.41
CHINA,1995,459802339.80
CHINA,1994,468364276.11
CHINA,1993,461342622.12
CHINA,1992,459531174.90
EGYPT,1998,275826421.04
EGYPT,1997,468914339.33
EGYPT,1996,480846088.82
EGYPT,1995,463269674.57
EGYPT,1994,474777081.95
EGYPT,1993,470918361.28
EGYPT,1992,471122518.94
ETHIOPIA,1998,267715266.35
ETHIOPIA,1997,463042037.58
ETHIOPIA,1996,462188681.34
ETHIOPIA,1995,463533287.09
ETHIOPIA,1994,462007318.85
ETHIOPIA,1993,461582457.24
ETHIOPIA,1992,467185360.63
FRANCE,1998,266843854.90
FRANCE,1997,458070704.35
FRANCE,1996,461296434.41
FRANCE,1995,466047862.61
FRANCE,1994,462634879.89
FRANCE,1993,456729264.27
FRANCE,1992,464519551.92
GERMANY,1998,277397508.23
GERMANY,1997,470119583.96
GERMANY,1996,461596205.01
GERMANY,1995,465597813.63
GERMANY,1994,476317845.50
GERMANY,1993,470911212.10
GERMANY,1992,465347908.71
INDIA,1998,276060811.98
INDIA,1997,461349929.87
INDIA,1996,465502999.64
INDIA,1995,476533290.42
INDIA,1994,470640591.57
INDIA,1993,476166748.54
INDIA,1992,468464998.58
INDONESIA,1998,263887651.53
INDONESIA,1997,459758362.74
INDONESIA,1996,463748729.35
INDONESIA,1995,455827885.14
INDONESIA,1994,465147967.83
INDONESIA,1993,459510035.11
INDONESIA,1992,459790283.94
IRAN,1998,276956481.18
IRAN,1997,461123147.77
IRAN,1996,464968393.86
IRAN,1995,471162051.63
IRAN,1994,474785904.02
IRAN,1993,469562753.80
IRAN,1992,465465635.49
IRAQ,1998,277184841.76
IRAQ,1997,466378518.87
IRAQ,1996,480133815.90
IRAQ,1995,466033980.85
IRAQ,1994,470968331.76
IRAQ,1993,473233440.02
IRAQ,1992,474325553.18
JAPAN,1998,274676423.49
JAPAN,1997,468355447.99
JAPAN,1996,463254138.89
JAPAN,1995,462210974.51
JAPAN,1994,476425680.26
JAPAN,1993,477905842.02
JAPAN,1992,472251377.19
JORDAN,1998,271011237.57
JORDAN,1997,459686981.91
JORDAN,1996,456380965.19
JORDAN,1995,464095726.30
JORDAN,1994,466714142.84
JORDAN,1993,462387677.33
JORDAN,1992,463531365.61
KENYA,1998,278319052.64
KENYA,1997,477086524.01
KENYA,1996,482407892.64
KENYA,1995,473877156.94
KENYA,1994,471783599.99
KENYA,1993,475482332.01
KENYA,1992,476117758.37
MOROCCO,1998,272103827.67
MOROCCO,1997,465001370.71
MOROCCO,1996,469664985.97
MOROCCO,1995,475547495.63
MOROCCO,1994,464206774.75
MOROCCO,1993,462506502.74
MOROCCO,1992,466178288.93
MOZAMBIQUE,1998,273890165.60
MOZAMBIQUE,1997,460347873.35
MOZAMBIQUE,1996,459929848.21
MOZAMBIQUE,1995,451530701.88
MOZAMBIQUE,1994,462880325.34
MOZAMBIQUE,1993,456798606.54
MOZAMBIQUE,1992,452818098.94
PERU,1998,267707656.70
PERU,1997,461492356.69
PERU,1996,465131310.82
PERU,1995,461370165.59
PERU,1994,465770567.76
PERU,1993,467123414.43
PERU,1992,467445093.28
ROMANIA,1998,269548784.68
ROMANIA,1997,460428663.26
ROMANIA,1996,459940510.81
ROMANIA,1995,460998928.54
ROMANIA,1994,452638368.00
ROMANIA,1993,465847349.66
ROMANIA,1992,468844860.33
RUSSIA,1998,275798445.43
RUSSIA,1997,468793134.08
RUSSIA,1996,464463542.06
RUSSIA,1995,463464393.53
RUSSIA,1994,459884847.46
RUSSIA,1993,462392126.28
RUSSIA,1992,468380860.27
SAUDI ARABIA,1998,279378088.79
SAUDI ARABIA,1997,467653487.82
SAUDI ARABIA,1996,478596234.60
SAUDI ARABIA,1995,477055353.58
SAUDI ARABIA,1994,471085280.40
SAUDI ARABIA,1993,468645281.36
SAUDI ARABIA,1992,479819037.34
UNITED KINGDOM,1998,269932104.27
UNITED KINGDOM,1997,463575459.08
UNITED KINGDOM,1996,467451135.08
UNITED KINGDOM,1995,465308899.75
UNITED KINGDOM,1994,466317319.65
UNITED KINGDOM,1993,467140820.83
UNITED KINGDOM,1992,464629328.24
UNITED STATES,1998,271746651.51
UNITED STATES,1997,466200206.62
UNITED STATES,1996,466726816.78
UNITED STATES,1995,470796985.76
UNITED STATES,1994,476447735.35
UNITED STATES,1993,460120347.71
UNITED STATES,1992,468157711.66
VIETNAM,1998,272979470.88
VIETNAM,1997,473777508.78
VIETNAM,1996,466048695.90
VIETNAM,1995,468658111.01
VIETNAM,1994,478019540.19
VIETNAM,1993,469271844.04
VIETNAM,1992,463962862.66
