c_name,c_custkey,o_orderkey,o_orderdate,o_totalprice,sum_qty
Customer#000571654,571654,21213895,1992-01-03,549380.08,323.00
Customer#001130668,1130668,18869634,1995-01-10,525679.10,310.00
Customer#000061768,61768,46486080,1997-05-02,517881.34,309.00
Customer#000879475,879475,19806371,1992-10-12,512611.17,314.00
Customer#001232356,1232356,52340710,1993-01-01,512292.83,314.00
Customer#000753412,753412,38142722,1992-01-24,511317.32,307.00
Customer#001247930,1247930,59138305,1993-10-31,509372.97,314.00
Customer#001257559,1257559,33038726,1993-03-20,509228.20,304.00
Customer#001000024,1000024,59057792,1993-12-30,500422.55,304.00
Customer#000242576,242576,43438883,1992-11-27,496298.09,307.00
Customer#000081334,81334,23602531,1993-08-15,491002.18,323.00
Customer#000139331,139331,28896033,1997-10-05,490523.13,305.00
Customer#000289751,289751,19094241,1992-01-14,485374.25,306.00
Customer#000675502,675502,32991271,1992-04-09,482761.07,304.00
Customer#000385303,385303,29397510,1992-07-05,481103.44,301.00
Customer#000800677,800677,21530176,1992-07-10,480583.97,308.00
Customer#000449303,449303,21500228,1992-07-01,479730.53,320.00
Customer#000041903,41903,7107490,1992-05-16,475490.67,308.00
Customer#000931621,931621,9436480,1992-05-22,475149.76,312.00
Customer#001476647,1476647,25109123,1992-03-28,473959.22,306.00
Customer#000481906,481906,50036707,1992-11-22,473057.94,303.00
Customer#000699361,699361,27034435,1993-09-02,471329.35,312.00
Customer#000704620,704620,56788359,1992-09-28,470299.91,308.00
Customer#001398221,1398221,4328516,1992-11-05,469103.93,303.00
Customer#001146131,1146131,20662370,1992-07-22,466829.08,314.00
Customer#001013179,1013179,37063686,1992-11-28,466637.76,315.00
Customer#000366184,366184,4806726,1995-01-17,466287.90,330.00
Customer#001216234,1216234,5931652,1993-12-20,465653.35,304.00
Customer#000965828,965828,8963778,1992-04-12,465628.68,310.00
Customer#001320809,1320809,40714112,1992-09-04,461430.51,319.00
Customer#000317285,317285,44178691,1998-01-24,459635.14,311.00
Customer#000441514,441514,55084354,1992-06-27,456393.34,301.00
Customer#000996595,996595,50400423,1997-05-12,448861.50,302.00
Customer#001029179,1029179,8380160,1992-01-22,446568.00,302.00
Customer#000855805,855805,41340260,1992-02-15,446308.27,313.00
Customer#000876431,876431,50861411,1995-04-01,443577.75,301.00
Customer#001100983,1100983,58504644,1992-07-21,442335.99,306.00
Customer#000974782,974782,19568480,1994-06-20,440487.13,301.00
Customer#000584323,584323,27177382,1992-11-22,440253.69,302.00
Customer#000204307,204307,52655008,1992-01-28,440115.85,312.00
Customer#000991919,991919,8574884,1992-07-04,438426.82,308.00
Customer#000922907,922907,57746887,1996-02-04,438053.05,301.00
Customer#000595484,595484,17196967,1993-01-30,438010.87,303.00
Customer#001307122,1307122,21872324,1997-04-29,437388.16,308.00
Customer#001180859,1180859,42835044,1993-01-26,437289.52,308.00
Customer#001342552,1342552,47076741,1992-02-15,435159.64,305.00
Customer#000341381,341381,31821728,1993-02-17,434321.44,307.00
Customer#001326937,1326937,13095425,1993-01-14,429828.77,303.00
Customer#001005050,1005050,40403232,1992-02-07,429209.62,303.00
Customer#001471174,1471174,32624836,1994-06-19,429133.96,328.00
Customer#000104179,104179,59072775,1994-03-29,428347.10,302.00
Customer#000477652,477652,52989922,1993-06-27,426453.14,302.00
Customer#000420332,420332,30356293,1995-12-10,426307.10,309.00
Customer#001232056,1232056,23403971,1997-11-09,425676.52,301.00
Customer#000329353,329353,39338949,1996-04-10,425021.38,317.00
Customer#001090495,1090495,17122085,1992-01-06,424570.69,301.00
Customer#000491503,491503,58330181,1993-10-08,423393.97,307.00
Customer#001221452,1221452,37518752,1996-01-01,419722.19,316.00
Customer#001106353,1106353,884066,1992-11-19,419295.58,316.00
Customer#001258879,1258879,53119809,1994-06-26,418214.52,320.00
Customer#001048354,1048354,33405414,1992-03-15,417829.75,302.00
Customer#001187368,1187368,29384161,1993-01-02,417629.69,315.00
Customer#001032916,1032916,54589089,1992-08-28,417269.21,304.00
Customer#001394140,1394140,26880037,1998-07-12,416956.10,303.00
Customer#000839092,839092,25958245,1992-03-05,416397.14,310.00
Customer#001304239,1304239,28739749,1993-12-04,415769.85,324.00
Customer#000176185,176185,17557507,1994-03-15,414762.43,309.00
Customer#000962918,962918,21634625,1992-03-26,414118.98,302.00
Customer#000693446,693446,29903682,1992-01-12,413292.74,305.00
Customer#000186455,186455,45751587,1993-06-15,412905.59,301.00
Customer#000266879,266879,40449665,1992-11-30,411440.51,307.00
Customer#001436564,1436564,47182018,1992-06-16,409901.59,301.00
Customer#001175002,1175002,58850979,1992-09-21,409292.67,305.00
Customer#000327929,327929,41909379,1993-08-08,408113.19,306.00
Customer#000347291,347291,29378850,1998-07-05,406639.01,301.00
Customer#000811448,811448,31047367,1995-05-26,406465.19,302.00
Customer#000049231,49231,21315265,1992-04-05,404905.48,313.00
Customer#000869582,869582,31433505,1994-09-02,402920.77,307.00
Customer#000673399,673399,38274948,1992-04-30,399233.46,302.00
Customer#000495766,495766,180387,1996-12-20,397169.24,307.00
Customer#000528257,528257,37010817,1992-01-19,395858.93,306.00
Customer#001232780,1232780,34600934,1992-01-22,395593.18,301.00
Customer#001037525,1037525,26584295,1992-03-09,394681.34,308.00
Customer#000597625,597625,31041542,1994-07-13,393662.68,304.00
Customer#000970591,970591,13264098,1993-01-09,391312.18,307.00
Customer#000567221,567221,55896833,1996-01-24,388399.46,309.00
Customer#000020782,20782,50260612,1992-11-14,379278.85,305.00
Customer#001235989,1235989,28960455,1994-05-15,379172.59,314.00
Customer#000977020,977020,28062983,1994-01-16,379005.82,304.00
