nation,o_year,sum_profit
ALGERIA,1998,19598.19
ALGERIA,1997,381457.76
ALGERIA,1996,145211.76
ALGERIA,1995,312579.46
ALGERIA,1994,53701.39
ALGERIA,1993,145110.04
ALGERIA,1992,83001.93
ARGENTINA,1998,178758.37
ARGENTINA,1997,256000.02
ARGENTINA,1996,259313.36
ARGENTINA,1995,165134.69
ARGENTINA,1994,165232.64
ARGENTINA,1993,241726.10
ARGENTINA,1992,146055.36
BRAZIL,1998,45622.84
BRAZIL,1997,178197.96
BRAZIL,1996,196608.26
BRAZIL,1995,92801.70
BRAZIL,1994,135117.01
BRAZIL,1993,153099.76
BRAZIL,1992,118044.92
CANADA,1998,312869.06
CANADA,1997,535836.34
CANADA,1996,440814.03
CANADA,1995,213465.94
CANADA,1994,561935.98
CANADA,1993,245834.59
CANADA,1992,365465.47
CHINA,1998,131611.12
CHINA,1997,90275.57
CHINA,1996,31844.39
CHINA,1995,217908.52
CHINA,1994,167688.41
CHINA,1993,91157.61
CHINA,1992,196333.70
EGYPT,1998,262536.57
EGYPT,1997,474174.87
EGYPT,1996,381790.01
EGYPT,1995,265484.30
EGYPT,1994,436966.87
EGYPT,1993,159942.54
EGYPT,1992,235692.45
ETHIOPIA,1998,91769.19
ETHIOPIA,1997,124376.66
ETHIOPIA,1996,310689.17
ETHIOPIA,1995,289059.53
ETHIOPIA,1994,95886.92
ETHIOPIA,1993,207884.92
ETHIOPIA,1992,156493.59
FRANCE,1998,25932.11
FRANCE,1997,44425.37
FRANCE,1996,28979.98
FRANCE,1995,250230.08
FRANCE,1994,88603.76
FRANCE,1993,71853.64
FRANCE,1992,13886.17
GERMANY,1998,20242.27
GERMANY,1997,97657.75
GERMANY,1996,56114.61
GERMANY,1995,307591.84
GERMANY,1994,145092.33
GERMANY,1993,143153.34
GERMANY,1992,39755.31
INDIA,1998,53175.11
INDIA,1997,140405.32
INDIA,1996,133447.32
INDIA,1995,164458.81
INDIA,1994,142537.55
INDIA,1993,50403.71
INDIA,1992,106004.39
INDONESIA,1998,75633.68
INDONESIA,1997,312636.54
INDONESIA,1996,95655.02
INDONESIA,1995,68649.54
INDONESIA,1994,223467.09
INDONESIA,1993,237993.39
INDONESIA,1992,223897.76
IRAN,1998,9684.02
IRAN,1997,268033.56
IRAN,1996,487419.61
IRAN,1995,75151.78
IRAN,1994,90970.13
IRAN,1993,249385.92
IRAN,1992,328139.33
IRAQ,1997,19374.82
IRAQ,1996,71386.36
IRAQ,1995,3773.11
IRAQ,1994,95824.35
IRAQ,1993,99986.29
IRAQ,1992,9941.46
JAPAN,1998,129610.82
JAPAN,1997,161058.22
JAPAN,1996,176778.87
JAPAN,1995,127589.60
JAPAN,1994,305240.07
JAPAN,1993,197762.92
JAPAN,1992,98293.30
JORDAN,1998,136916.21
JORDAN,1997,154656.30
JORDAN,1996,102618.36
JORDAN,1995,92776.12
JORDAN,1994,287979.94
JORDAN,1993,182212.99
JORDAN,1992,245549.10
KENYA,1998,93155.81
KENYA,1997,55387.11
KENYA,1996,68404.84
KENYA,1995,74296.10
KENYA,1994,50057.66
KENYA,1993,39404.33
KENYA,1992,69471.62
MOROCCO,1998,112717.18
MOROCCO,1997,335444.42
MOROCCO,1996,304662.18
MOROCCO,1995,330442.59
MOROCCO,1994,510361.69
MOROCCO,1993,167890.24
MOROCCO,1992,260777.02
MOZAMBIQUE,1998,187052.65
MOZAMBIQUE,1997,273403.91
MOZAMBIQUE,1996,201216.30
MOZAMBIQUE,1995,129860.32
MOZAMBIQUE,1994,221827.92
MOZAMBIQUE,1993,75425.28
MOZAMBIQUE,1992,244480.58
PERU,1998,68343.28
PERU,1997,261956.67
PERU,1996,173139.55
PERU,1995,109855.03
PERU,1994,62922.03
PERU,1993,225080.81
PERU,1992,105229.57
ROMANIA,1998,93087.77
ROMANIA,1997,257330.51
ROMANIA,1996,342017.85
ROMANIA,1995,315518.45
ROMANIA,1994,169037.25
ROMANIA,1993,401550.95
ROMANIA,1992,132574.68
RUSSIA,1998,89287.07
RUSSIA,1997,172064.60
RUSSIA,1996,164172.23
RUSSIA,1995,90934.04
RUSSIA,1994,232103.92
RUSSIA,1993,249836.86
RUSSIA,1992,231871.14
SAUDI ARABIA,1998,231724.51
SAUDI ARABIA,1997,226210.74
SAUDI ARABIA,1996,205607.52
SAUDI ARABIA,1995,116152.65
SAUDI ARABIA,1994,63514.65
SAUDI ARABIA,1993,168362.84
SAUDI ARABIA,1992,258766.45
UNITED KINGDOM,1998,151640.25
UNITED KINGDOM,1997,105639.33
UNITED KINGDOM,1996,486320.61
UNITED KINGDOM,1995,220938.56
UNITED KINGDOM,1994,361443.01
UNITED KINGDOM,1993,200332.11
UNITED KINGDOM,1992,218300.77
UNITED STATES,1996,12686.33
UNITED STATES,1995,104904.24
UNITED STATES,1994,6552.12
UNITED STATES,1993,265920.81
UNITED STATES,1992,64210.75
VIETNAM,1998,18195.73
VIETNAM,1997,45161.39
VIETNAM,1996,151290.63
VIETNAM,1995,186260.41
VIETNAM,1994,274005.59
VIETNAM,1993,79268.13
VIETNAM,1992,11469.10
