nation,o_year,sum_profit
ALGERIA,1998,264317024.81
ALGERIA,1997,458409296.72
ALGERIA,1996,459881346.50
ALGERIA,1995,459971492.59
ALGERIA,1994,456378119.10
ALGERIA,1993,458273240.77
ALGERIA,1992,461849942.79
ARGENTINA,1998,277126436.38
ARGENTINA,1997,470477890.30
ARGENTINA,1996,471391058.60
ARGENTINA,1995,466008653.84
ARGENTINA,1994,467132348.00
ARGENTINA,1993,473801458.80
ARGENTINA,1992,469519600.36
BRAZIL,1998,271030498.09
BRAZIL,1997,466452179.24
BRAZIL,1996,465282477.14
BRAZIL,1995,462838644.63
BRAZIL,1994,470609096.46
BRAZIL,1993,464276064.17
BRAZIL,1992,464116283.01
CANADA,1998,275486502.34
CANADA,1997,471825045.76
CANADA,1996,482173297.28
CANADA,1995,473690311.17
CANADA,1994,480837568.74
CANADA,1993,472182386.25
CANADA,1992,479950513.51
CHINA,1998,274021186.13
CHINA,1997,459746561.37
CHINA,1996,453782016.49
CHINA,1995,459149737.85
CHINA,1994,466563600.48
CHINA,1993,459781979.66
CHINA,1992,465603490.58
EGYPT,1998,277411394.28
EGYPT,1997,472454992.46
EGYPT,1996,469786365.49
EGYPT,1995,468802632.34
EGYPT,1994,472795969.49
EGYPT,1993,472215085.09
EGYPT,1992,472208046.78
ETHIOPIA,1998,271041230.07
ETHIOPIA,1997,458755879.51
ETHIOPIA,1996,462925328.00
ETHIOPIA,1995,461384247.09
ETHIOPIA,1994,465088479.47
ETHIOPIA,1993,460471841.07
ETHIOPIA,1992,467587403.87
FRANCE,1998,271804672.01
FRANCE,1997,458802335.74
FRANCE,1996,463476454.83
FRANCE,1995,461106495.94
FRANCE,1994,458798491.27
FRANCE,1993,455993547.82
FRANCE,1992,466160554.74
GERMANY,1998,273012509.09
GERMANY,1997,467717143.81
GERMANY,1996,471170496.75
GERMANY,1995,469253204.15
GERMANY,1994,469732008.42
GERMANY,1993,465749852.47
GERMANY,1992,470652862.45
INDIA,1998,276470503.01
INDIA,1997,470804494.77
INDIA,1996,471737376.85
INDIA,1995,466108507.43
INDIA,1994,472212139.17
INDIA,1993,469066346.61
INDIA,1992,468320002.76
INDONESIA,1998,270636503.54
INDONESIA,1997,464953621.26
INDONESIA,1996,463113433.43
INDONESIA,1995,455930254.95
INDONESIA,1994,459202302.96
INDONESIA,1993,453785629.55
INDONESIA,1992,460049169.95
IRAN,1998,280634358.67
IRAN,1997,469151945.94
IRAN,1996,469327134.95
IRAN,1995,464748111.20
IRAN,1994,467069592.53
IRAN,1993,468580797.78
IRAN,1992,464512426.68
IRAQ,1998,279069407.35
IRAQ,1997,471397685.83
IRAQ,1996,486431041.90
IRAQ,1995,464572452.18
IRAQ,1994,469492484.40
IRAQ,1993,468414232.45
IRAQ,1992,468881178.23
JAPAN,1998,272368198.58
JAPAN,1997,470249869.49
JAPAN,1996,467371744.42
JAPAN,1995,470857383.10
JAPAN,1994,470934596.32
JAPAN,1993,473661016.74
JAPAN,1992,469637075.70
JORDAN,1998,270640789.43
JORDAN,1997,463335436.63
JORDAN,1996,461048766.55
JORDAN,1995,461027297.88
JORDAN,1994,464724142.65
JORDAN,1993,463915526.60
JORDAN,1992,459116137.01
KENYA,1998,279481830.45
KENYA,1997,472903490.41
KENYA,1996,479387170.57
KENYA,1995,477276373.50
KENYA,1994,473882035.80
KENYA,1993,476030703.14
KENYA,1992,476112712.73
MOROCCO,1998,274074188.98
MOROCCO,1997,466247515.96
MOROCCO,1996,469296782.87
MOROCCO,1995,468363892.55
MOROCCO,1994,462268112.01
MOROCCO,1993,467900611.07
MOROCCO,1992,467058142.96
MOZAMBIQUE,1998,270113688.74
MOZAMBIQUE,1997,463084313.67
MOZAMBIQUE,1996,460341910.92
MOZAMBIQUE,1995,455555644.75
MOZAMBIQUE,1994,457825867.94
MOZAMBIQUE,1993,454530883.67
MOZAMBIQUE,1992,456743310.17
PERU,1998,272212767.24
PERU,1997,462180005.34
PERU,1996,468523075.28
PERU,1995,461780636.02
PERU,1994,464390076.01
PERU,1993,463299622.81
PERU,1992,463654382.57
ROMANIA,1998,273659796.97
ROMANIA,1997,466079979.46
ROMANIA,1996,460965251.48
ROMANIA,1995,463320645.96
ROMANIA,1994,454709824.22
ROMANIA,1993,459027985.75
ROMANIA,1992,460483981.44
RUSSIA,1998,274567542.11
RUSSIA,1997,466843756.48
RUSSIA,1996,470692363.91
RUSSIA,1995,469974227.57
RUSSIA,1994,456466696.21
RUSSIA,1993,457468857.89
RUSSIA,1992,467163904.94
SAUDI ARABIA,1998,278711970.88
SAUDI ARABIA,1997,470504930.07
SAUDI ARABIA,1996,476857820.10
SAUDI ARABIA,1995,468369569.58
SAUDI ARABIA,1994,473603486.40
SAUDI ARABIA,1993,470495270.43
SAUDI ARABIA,1992,483689716.43
UNITED KINGDOM,1998,269963929.36
UNITED KINGDOM,1997,466806685.23
UNITED KINGDOM,1996,471668839.41
UNITED KINGDOM,1995,462997405.84
UNITED KINGDOM,1994,465770209.77
UNITED KINGDOM,1993,465175532.39
UNITED KINGDOM,1992,461972464.90
UNITED STATES,1998,274624455.22
UNITED STATES,1997,463202927.02
UNITED STATES,1996,467358006.39
UNITED STATES,1995,474781610.23
UNITED STATES,1994,468645356.01
UNITED STATES,1993,467017046.08
UNITED STATES,1992,464567054.44
VIETNAM,1998,273255600.08
VIETNAM,1997,476760745.38
VIETNAM,1996,468050354.78
VIETNAM,1995,469043279.58
VIETNAM,1994,467082569.82
VIETNAM,1993,471091814.42
VIETNAM,1992,467433669.40
