c_name,c_custkey,o_orderkey,o_orderdate,o_totalprice,sum_qty
Customer#001287812,1287812,42290181,1997-11-26,558289.17,318.00
Customer#000571654,571654,21213895,1992-01-03,549380.08,327.00
Customer#000870061,870061,17812705,1992-03-20,535422.02,301.00
Customer#001101754,1101754,46794464,1992-04-28,532623.90,320.00
Customer#001296343,1296343,28346247,1992-11-01,523740.15,310.00
Customer#000634048,634048,36327201,1992-04-25,519634.30,315.00
Customer#001232356,1232356,52340710,1993-01-01,512292.83,320.00
Customer#001058674,1058674,30218567,1992-04-09,508704.15,303.00
Customer#001080199,1080199,37282215,1992-04-18,507778.23,312.00
Customer#000180970,180970,28378659,1997-03-21,502856.99,303.00
Customer#001235618,1235618,14891232,1992-05-30,502746.90,311.00
Customer#000018472,18472,22291718,1992-09-03,500694.69,306.00
Customer#000647701,647701,14614786,1997-08-28,499464.65,306.00
Customer#000828802,828802,10678725,1992-12-07,497072.66,309.00
Customer#000242576,242576,43438883,1992-11-27,496298.09,314.00
Customer#000776071,776071,39154146,1992-12-03,496189.68,305.00
Customer#000027808,27808,32161635,1992-08-06,496173.99,309.00
Customer#000166589,166589,46685344,1993-12-14,496075.11,327.00
Customer#000435364,435364,44886083,1994-05-30,493374.78,306.00
Customer#000392000,392000,48862754,1996-07-14,491950.72,305.00
Customer#001322986,1322986,23129479,1992-08-20,487578.40,308.00
Customer#000389473,389473,21135524,1992-11-22,487245.56,320.00
Customer#000660979,660979,5007490,1992-08-07,486469.84,304.00
Customer#000830836,830836,32766721,1995-01-27,485962.64,306.00
Customer#001050517,1050517,23062983,1998-04-04,482991.96,301.00
Customer#001249459,1249459,21296295,1996-04-10,482893.60,301.00
Customer#000675502,675502,32991271,1992-04-09,482761.07,307.00
Customer#000642599,642599,24319555,1992-08-08,482659.82,303.00
Customer#000778949,778949,40876003,1992-05-10,481422.24,314.00
Customer#000800677,800677,21530176,1992-07-10,480583.97,301.00
Customer#001379158,1379158,49474597,1992-03-06,478863.46,319.00
Customer#001115629,1115629,13165024,1992-06-29,477665.31,318.00
Customer#000308315,308315,18188388,1997-06-20,476739.11,303.00
Customer#000576059,576059,54375559,1996-05-30,476340.39,301.00
Customer#000701677,701677,10740227,1992-12-20,476100.93,308.00
Customer#000699040,699040,1742403,1996-10-19,475068.50,305.00
Customer#001476647,1476647,25109123,1992-03-28,473959.22,301.00
Customer#001168579,1168579,6222658,1994-03-08,471987.26,301.00
Customer#000704620,704620,56788359,1992-09-28,470299.91,304.00
Customer#000749185,749185,7611718,1992-05-01,470239.52,301.00
Customer#000883213,883213,10889601,1992-05-22,469970.93,306.00
Customer#001237748,1237748,34142818,1992-06-30,468064.76,310.00
Customer#000706129,706129,22408480,1992-03-31,467593.34,308.00
Customer#001289827,1289827,10184165,1992-06-15,467534.64,311.00
Customer#000543745,543745,24813703,1994-02-12,466614.67,307.00
Customer#000366184,366184,4806726,1995-01-17,466287.90,328.00
Customer#000370765,370765,16089345,1996-07-09,466128.38,305.00
Customer#000576637,576637,28447970,1992-06-27,462524.27,301.00
Customer#000005743,5743,47969124,1992-07-11,462172.78,306.00
Customer#001320809,1320809,40714112,1992-09-04,461430.51,308.00
Customer#000482590,482590,20649506,1995-06-20,460749.05,313.00
Customer#001068529,1068529,57324993,1997-04-22,460043.38,308.00
Customer#000382703,382703,32579840,1997-09-15,458664.28,301.00
Customer#001376458,1376458,38488484,1992-06-24,457794.12,306.00
Customer#000411484,411484,8231942,1993-02-06,457185.12,302.00
Customer#001019843,1019843,24979495,1992-04-26,455189.90,308.00
Customer#001168256,1168256,41277440,1997-02-19,454849.65,314.00
Customer#000111017,111017,22220514,1992-12-26,454841.44,306.00
Customer#001278413,1278413,59993957,1993-02-03,454095.70,303.00
Customer#000243406,243406,1474818,1992-11-15,453529.33,302.00
Customer#000332800,332800,6091649,1992-06-24,452956.83,305.00
Customer#000106120,106120,44257860,1992-12-05,452781.98,313.00
Customer#001281199,1281199,4722021,1994-04-07,452129.83,323.00
Customer#001190767,1190767,43423427,1998-02-14,449361.07,302.00
Customer#000471553,471553,43846177,1992-01-24,448785.76,306.00
Customer#000325798,325798,40705506,1992-11-21,446324.32,304.00
Customer#000890326,890326,27529377,1998-05-05,446228.52,305.00
Customer#001154812,1154812,27247074,1992-11-25,444845.14,302.00
Customer#000059597,59597,18871616,1992-07-31,443986.59,312.00
Customer#001456564,1456564,36420615,1998-07-16,442659.82,306.00
Customer#001100983,1100983,58504644,1992-07-21,442335.99,306.00
Customer#000981457,981457,20971013,1997-08-12,442063.33,322.00
Customer#000101284,101284,5849444,1994-03-21,440683.38,309.00
Customer#000546842,546842,18762278,1992-11-24,440066.33,305.00
Customer#000725596,725596,9506693,1993-07-20,439314.69,314.00
Customer#000991919,991919,8574884,1992-07-04,438426.82,308.00
Customer#000318334,318334,45231655,1993-10-18,437458.72,302.00
Customer#000501475,501475,9304229,1997-08-24,437403.31,309.00
Customer#000434477,434477,50380160,1992-02-24,436520.04,308.00
Customer#000831784,831784,40021697,1996-05-06,435200.01,303.00
Customer#001160435,1160435,8754087,1996-01-21,434630.52,306.00
Customer#000118345,118345,12237830,1992-12-23,434500.50,305.00
Customer#001251715,1251715,31601378,1992-03-19,433215.20,306.00
Customer#000080765,80765,22470437,1992-01-16,432402.53,304.00
Customer#000554837,554837,33868740,1993-10-06,427211.06,303.00
Customer#000065491,65491,7549735,1994-06-30,424178.05,315.00
Customer#000160727,160727,40462630,1997-02-16,418091.91,306.00
Customer#001227100,1227100,35542498,1993-10-12,417981.24,325.00
Customer#001305482,1305482,20714883,1995-10-05,415868.63,302.00
Customer#000772597,772597,1436544,1992-09-12,413488.39,307.00
Customer#001048271,1048271,25859617,1992-05-31,413250.58,301.00
Customer#001445284,1445284,17927718,1996-08-27,409124.70,314.00
Customer#000380455,380455,34764101,1993-01-30,407600.26,302.00
Customer#001488844,1488844,2942469,1992-05-31,404813.00,313.00
Customer#001037525,1037525,26584295,1992-03-09,394681.34,306.00
Customer#001445294,1445294,8073922,1992-02-26,392988.90,301.00
Customer#001094602,1094602,7887841,1992-06-15,387090.12,308.00
Customer#000859871,859871,7379172,1993-01-21,378395.58,301.00
Customer#001217014,1217014,10442629,1993-01-13,368362.12,302.00
Customer#001470748,1470748,47452993,1993-01-06,365823.23,301.00
