c_name,c_custkey,o_orderkey,o_orderdate,o_totalprice,sum_qty
Customer#001287812,1287812,42290181,1997-11-26,558289.17,318.00
Customer#001172513,1172513,36667107,1997-06-06,550142.18,322.00
Customer#000399481,399481,43906817,1995-04-06,549431.65,312.00
Customer#000571654,571654,21213895,1992-01-03,549380.08,327.00
Customer#000630869,630869,30671170,1993-09-30,541620.62,297.00
Customer#001492954,1492954,30332516,1996-03-10,541181.80,310.00
Customer#001471966,1471966,1263015,1997-02-02,540476.80,320.00
Customer#000870061,870061,17812705,1992-03-20,535422.02,301.00
Customer#000606193,606193,28809635,1994-07-18,525901.65,286.00
Customer#000591466,591466,55799200,1996-02-11,524209.45,327.00
Customer#000406811,406811,47953029,1995-01-14,523581.51,303.00
Customer#001196317,1196317,34509573,1995-10-15,522897.01,318.00
Customer#000634048,634048,36327201,1992-04-25,519634.30,315.00
Customer#001308376,1308376,28077922,1996-10-27,518711.99,319.00
Customer#000613880,613880,3187749,1992-05-03,515160.68,293.00
Customer#000789988,789988,49864035,1995-11-05,513213.66,308.00
Customer#000251566,251566,26482784,1994-03-18,511552.79,300.00
Customer#001257559,1257559,33038726,1993-03-20,509228.20,300.00
Customer#001159340,1159340,6729666,1992-09-02,507289.34,299.00
Customer#000998485,998485,51532000,1992-10-27,506996.90,319.00
Customer#001374451,1374451,5489475,1997-05-23,505059.18,311.00
Customer#000602488,602488,43980355,1994-09-22,503468.79,312.00
Customer#000266747,266747,41274690,1992-08-10,503260.49,317.00
Customer#000514688,514688,15572326,1995-02-26,503145.69,309.00
Customer#001493087,1493087,38422560,1994-04-17,502119.94,305.00
Customer#000648331,648331,44887329,1998-04-06,500907.36,283.00
Customer#000569749,569749,33002339,1993-10-09,499928.12,306.00
Customer#000117275,117275,8506019,1992-12-16,499719.70,306.00
Customer#001455547,1455547,18115396,1993-08-19,499660.29,298.00
Customer#000655072,655072,46777222,1993-06-27,499565.93,314.00
Customer#000125987,125987,4259524,1998-02-12,498390.39,304.00
Customer#000138238,138238,43491654,1992-05-20,498276.78,308.00
Customer#001422388,1422388,51409728,1996-03-12,497139.69,306.00
Customer#000828802,828802,10678725,1992-12-07,497072.66,309.00
Customer#000242576,242576,43438883,1992-11-27,496298.09,314.00
Customer#000689971,689971,11120293,1995-08-08,496190.55,311.00
Customer#000166589,166589,46685344,1993-12-14,496075.11,327.00
Customer#001265035,1265035,12845285,1993-05-25,495963.43,304.00
Customer#001210987,1210987,46010116,1998-07-24,494687.88,296.00
Customer#000608233,608233,28092902,1997-03-23,494174.42,306.00
Customer#001000373,1000373,18200676,1994-06-22,494028.41,307.00
Customer#000435364,435364,44886083,1994-05-30,493374.78,306.00
Customer#001298383,1298383,46601632,1993-12-16,492783.96,300.00
Customer#001200979,1200979,1971680,1995-06-14,492188.43,308.00
Customer#001128433,1128433,55747171,1993-09-06,491693.10,310.00
Customer#001066228,1066228,32843908,1997-08-03,490736.41,293.00
Customer#000284524,284524,7954915,1995-05-10,489841.69,292.00
Customer#000109402,109402,10612710,1995-02-05,484659.70,319.00
Customer#000722638,722638,18353314,1997-01-28,484626.74,307.00
Customer#000368848,368848,55266401,1993-06-29,484074.00,294.00
Customer#000787136,787136,21874915,1992-12-27,483667.30,286.00
Customer#000578932,578932,31858758,1995-04-13,483313.52,300.00
Customer#000508750,508750,37004583,1997-12-11,482694.83,304.00
Customer#000338563,338563,56217669,1994-10-22,482452.83,303.00
Customer#000170456,170456,4206947,1996-07-18,481727.38,297.00
Customer#000724388,724388,14801511,1992-02-22,481595.32,298.00
Customer#000604861,604861,45897379,1994-05-30,481442.14,318.00
Customer#000778949,778949,40876003,1992-05-10,481422.24,314.00
Customer#001350514,1350514,43245189,1994-11-29,480988.72,320.00
Customer#000385024,385024,41068385,1994-09-13,480697.48,313.00
Customer#000456290,456290,58000519,1996-01-17,480280.84,325.00
Customer#000781337,781337,9727175,1995-03-18,480119.41,302.00
Customer#001096000,1096000,59273216,1992-06-02,479205.98,273.00
Customer#000434822,434822,51294337,1998-02-19,479003.12,286.00
Customer#000899707,899707,37026468,1997-04-02,478939.12,298.00
Customer#001379158,1379158,49474597,1992-03-06,478863.46,319.00
Customer#000901306,901306,27243172,1993-01-03,478344.05,279.00
Customer#001406293,1406293,54591522,1992-05-26,478206.55,278.00
Customer#001115629,1115629,13165024,1992-06-29,477665.31,318.00
Customer#001314385,1314385,43273091,1996-03-15,477214.70,289.00
Customer#000598354,598354,56497062,1998-04-28,476882.56,320.00
Customer#001299643,1299643,6517825,1993-06-19,476868.58,304.00
Customer#000759967,759967,26347329,1995-11-07,476728.48,295.00
Customer#000201520,201520,44232641,1993-10-12,476456.91,311.00
Customer#000353189,353189,46905316,1998-04-03,476337.26,285.00
Customer#000702001,702001,13243334,1997-05-07,475443.22,291.00
Customer#000404111,404111,42790918,1995-04-12,474633.36,289.00
Customer#000464345,464345,4745607,1997-07-03,474500.84,309.00
