c_name,c_custkey,o_orderkey,o_orderdate,o_totalprice,sum_qty
Customer#000644812,644812,2745894,1996-07-04,557664.53,304.00
Customer#000667882,667882,2199712,1996-09-30,542154.01,327.00
Customer#001471966,1471966,1263015,1997-02-02,540476.80,320.00
Customer#000933919,933919,5200102,1997-01-22,532057.45,304.00
Customer#000473176,473176,11484962,1992-02-10,518544.68,306.00
Customer#001093786,1093786,5746311,1996-10-10,513757.93,302.00
Customer#000960277,960277,8319046,1995-10-07,510321.90,307.00
Customer#000455380,455380,4527553,1994-05-22,507330.29,305.00
Customer#000609727,609727,10603495,1998-04-03,507129.55,307.00
Customer#001179178,1179178,2869152,1996-06-20,505142.88,317.00
Customer#001374451,1374451,5489475,1997-05-23,505059.18,311.00
Customer#000295255,295255,14389831,1996-11-04,504817.43,301.00
Customer#001235618,1235618,14891232,1992-05-30,502746.90,311.00
Customer#000117275,117275,8506019,1992-12-16,499719.70,306.00
Customer#000647701,647701,14614786,1997-08-28,499464.65,306.00
Customer#000125987,125987,4259524,1998-02-12,498390.39,304.00
Customer#000035656,35656,2329187,1998-01-04,497858.67,304.00
Customer#000828802,828802,10678725,1992-12-07,497072.66,309.00
Customer#000689971,689971,11120293,1995-08-08,496190.55,311.00
Customer#001265035,1265035,12845285,1993-05-25,495963.43,304.00
Customer#000961012,961012,5984582,1992-03-16,494315.92,312.00
Customer#001081807,1081807,8075589,1996-08-23,492479.61,316.00
Customer#001200979,1200979,1971680,1995-06-14,492188.43,308.00
Customer#001384115,1384115,12906020,1994-03-16,487076.70,304.00
Customer#000660979,660979,5007490,1992-08-07,486469.84,304.00
Customer#000109402,109402,10612710,1995-02-05,484659.70,319.00
Customer#000414613,414613,8639938,1996-08-30,483714.07,301.00
Customer#000389180,389180,13185729,1995-08-02,481346.17,305.00
Customer#001059943,1059943,2096705,1994-07-03,480888.10,307.00
Customer#000781337,781337,9727175,1995-03-18,480119.41,302.00
Customer#000888748,888748,983201,1993-12-30,478942.53,304.00
Customer#001446394,1446394,12353700,1992-10-09,478884.42,302.00
Customer#001115629,1115629,13165024,1992-06-29,477665.31,318.00
Customer#001299643,1299643,6517825,1993-06-19,476868.58,304.00
Customer#000122510,122510,735366,1993-11-24,476399.15,309.00
Customer#000701677,701677,10740227,1992-12-20,476100.93,308.00
Customer#000931621,931621,9436480,1992-05-22,475149.76,311.00
Customer#000699040,699040,1742403,1996-10-19,475068.50,305.00
Customer#000464345,464345,4745607,1997-07-03,474500.84,309.00
Customer#001168579,1168579,6222658,1994-03-08,471987.26,301.00
Customer#000367486,367486,6292038,1997-11-12,471844.58,305.00
Customer#000512749,512749,11231077,1994-05-27,471719.17,304.00
Customer#000885607,885607,10858721,1998-06-03,471711.04,306.00
Customer#000170809,170809,13971749,1996-05-07,471526.15,305.00
Customer#000156190,156190,3767271,1996-08-07,471132.45,318.00
Customer#000749185,749185,7611718,1992-05-01,470239.52,301.00
Customer#000181124,181124,8590657,1996-08-29,470155.41,303.00
Customer#000883213,883213,10889601,1992-05-22,469970.93,306.00
Customer#001105720,1105720,12331750,1994-12-07,469561.85,310.00
Customer#000087946,87946,10805828,1997-07-29,469150.80,316.00
Customer#001075898,1075898,4267751,1994-11-04,468582.51,301.00
Customer#001321865,1321865,7165026,1995-05-29,467715.47,304.00
Customer#001289827,1289827,10184165,1992-06-15,467534.64,311.00
Customer#001209827,1209827,12314084,1994-05-16,467104.78,325.00
Customer#001268641,1268641,4702759,1994-11-07,466780.36,320.00
Customer#000366184,366184,4806726,1995-01-17,466287.90,328.00
Customer#000667183,667183,6515330,1997-01-27,466094.27,307.00
Customer#000139399,139399,2232932,1997-04-13,465969.72,304.00
Customer#000704119,704119,14392483,1995-08-05,465057.99,307.00
Customer#000815809,815809,4739650,1995-11-04,462185.00,305.00
Customer#000036797,36797,3861123,1998-07-03,461435.62,301.00
Customer#000345568,345568,8991333,1995-04-10,460353.69,305.00
Customer#000120013,120013,14577123,1993-11-22,459256.27,305.00
Customer#000429640,429640,9816576,1997-06-06,458766.99,308.00
Customer#000411484,411484,8231942,1993-02-06,457185.12,302.00
Customer#001365014,1365014,11785570,1996-07-18,456882.03,303.00
Customer#000824404,824404,857959,1994-02-07,456801.34,305.00
Customer#000163835,163835,502886,1994-04-12,455910.78,312.00
Customer#001380298,1380298,13837220,1994-09-07,454998.75,316.00
Customer#000938947,938947,13432994,1995-10-25,454831.87,305.00
Customer#000109817,109817,10408580,1994-09-03,454420.76,320.00
Customer#000064357,64357,7235014,1998-03-09,454343.05,323.00
Customer#000003307,3307,6210853,1997-08-08,453806.61,303.00
Customer#000243406,243406,1474818,1992-11-15,453529.33,302.00
Customer#000332800,332800,6091649,1992-06-24,452956.83,305.00
Customer#000014110,14110,12701702,1997-07-26,452517.18,311.00
Customer#001281199,1281199,4722021,1994-04-07,452129.83,323.00
Customer#000340742,340742,9615783,1994-03-08,451888.12,302.00
Customer#000188371,188371,6581665,1993-12-04,451228.69,303.00
Customer#000546013,546013,5832321,1997-02-09,451166.55,307.00
Customer#000887026,887026,2995076,1994-01-30,450280.42,302.00
Customer#000594787,594787,8028004,1996-04-11,449980.33,302.00
Customer#001292375,1292375,7125602,1994-07-08,449693.55,301.00
Customer#001462508,1462508,13841255,1997-12-08,449586.51,302.00
Customer#000307486,307486,12251526,1993-12-24,448818.48,305.00
Customer#001155805,1155805,6082306,1995-07-07,448566.00,301.00
Customer#000631198,631198,12378086,1995-03-13,447447.22,320.00
