c_name,c_custkey,o_orderkey,o_orderdate,o_totalprice,sum_qty
Customer#000750967,750967,17612003,1996-02-05,359071.37,302.00
Customer#000178193,178193,52993379,1997-05-10,376840.23,303.00
Customer#001386854,1386854,6651397,1992-07-14,385049.15,301.00
Customer#000246775,246775,39732833,1993-02-27,385380.02,302.00
Customer#001229309,1229309,22253443,1997-05-22,387250.42,304.00
Customer#001185190,1185190,9782273,1994-12-05,392028.65,302.00
Customer#001223941,1223941,17361729,1997-08-12,395388.16,303.00
Customer#000866603,866603,9827201,1995-02-08,403377.20,304.00
Customer#000495029,495029,43322471,1996-03-31,403578.93,302.00
Customer#001173752,1173752,53101121,1997-03-02,403644.41,301.00
Customer#000449353,449353,8433440,1997-04-18,403704.43,305.00
Customer#001188142,1188142,42997059,1997-03-15,404132.92,320.00
Customer#001323217,1323217,39837541,1995-08-11,409135.94,305.00
Customer#000990538,990538,43416326,1996-06-18,411421.32,308.00
Customer#000427330,427330,43207233,1994-04-08,412760.42,303.00
Customer#001025266,1025266,26471747,1996-06-16,413090.68,313.00
Customer#000202144,202144,14046658,1995-12-01,413443.50,305.00
Customer#001140328,1140328,45053063,1993-09-01,414635.66,309.00
Customer#000033160,33160,17301668,1995-04-24,415088.59,302.00
Customer#000310654,310654,31450375,1996-05-16,415092.90,311.00
Customer#000064028,64028,32338533,1992-10-02,419263.12,307.00
Customer#000102715,102715,49172291,1993-10-19,422108.55,308.00
Customer#000958444,958444,28911364,1995-01-17,423071.08,301.00
Customer#000075070,75070,43997089,1994-08-07,424267.21,317.00
Customer#000554837,554837,33868740,1993-10-06,427211.06,303.00
Customer#000582785,582785,18302693,1993-10-23,427568.70,309.00
Customer#000433489,433489,32305890,1992-08-04,428776.82,304.00
Customer#000779642,779642,43328641,1997-12-22,430311.07,305.00
Customer#000520310,520310,20386147,1996-12-18,430634.82,308.00
Customer#000569339,569339,41396289,1993-02-01,430995.95,301.00
Customer#001466437,1466437,53092067,1993-11-10,431312.02,305.00
Customer#000203855,203855,20324257,1996-09-10,435114.92,314.00
Customer#000940826,940826,46226405,1998-04-05,435850.33,307.00
Customer#000003544,3544,48526950,1995-11-23,437674.55,304.00
Customer#001189921,1189921,27729440,1994-12-21,437795.57,302.00
Customer#000167087,167087,17366275,1998-01-14,437804.26,316.00
Customer#000991919,991919,8574884,1992-07-04,438426.82,308.00
Customer#000546842,546842,18762278,1992-11-24,440066.33,305.00
Customer#000024880,24880,29326886,1994-04-29,440979.35,314.00
Customer#000758503,758503,41325120,1997-05-02,443329.04,309.00
Customer#000059597,59597,18871616,1992-07-31,443986.59,312.00
Customer#000683602,683602,39710883,1996-03-18,444221.79,304.00
Customer#000181624,181624,17457767,1993-06-05,445836.21,316.00
Customer#000890326,890326,27529377,1998-05-05,446228.52,305.00
Customer#000325798,325798,40705506,1992-11-21,446324.32,304.00
Customer#001036465,1036465,27580742,1997-03-19,447017.28,311.00
Customer#001365610,1365610,33954756,1996-03-28,447696.12,309.00
Customer#000471553,471553,43846177,1992-01-24,448785.76,306.00
Customer#001190767,1190767,43423427,1998-02-14,449361.07,302.00
Customer#000737744,737744,26458949,1997-08-13,450088.84,301.00
Customer#000188371,188371,6581665,1993-12-04,451228.69,303.00
Customer#001147495,1147495,47071686,1997-04-29,451348.95,309.00
Customer#000523666,523666,32393895,1993-08-09,453417.44,316.00
Customer#001140475,1140475,29122912,1996-05-08,453750.44,323.00
Customer#000111017,111017,22220514,1992-12-26,454841.44,306.00
