c_name,c_custkey,o_orderkey,o_orderdate,o_totalprice,sum_qty
Customer#001114039,1114039,30417318,1995-10-31,536420.39,305.00
Customer#001341685,1341685,26707522,1996-01-02,513357.44,311.00
Customer#001492924,1492924,18152960,1998-02-17,512954.28,305.00
Customer#001232356,1232356,52340710,1993-01-01,512292.83,320.00
Customer#000350203,350203,28309383,1993-12-31,506745.51,301.00
Customer#000998174,998174,40753383,1997-01-14,506271.45,302.00
Customer#001179178,1179178,2869152,1996-06-20,505142.88,317.00
Customer#000212452,212452,23245603,1994-11-22,504070.63,321.00
Customer#000514688,514688,15572326,1995-02-26,503145.69,309.00
Customer#001274600,1274600,30728833,1994-01-05,502908.12,306.00
Customer#000180970,180970,28378659,1997-03-21,502856.99,303.00
Customer#001235618,1235618,14891232,1992-05-30,502746.90,311.00
Customer#000391210,391210,26587169,1996-01-19,502318.70,306.00
Customer#000018472,18472,22291718,1992-09-03,500694.69,306.00
Customer#001000024,1000024,59057792,1993-12-30,500422.55,314.00
Customer#000518995,518995,15104033,1995-02-03,497743.61,308.00
Customer#001410662,1410662,33414662,1996-05-07,497540.55,310.00
Customer#000242576,242576,43438883,1992-11-27,496298.09,314.00
Customer#001000373,1000373,18200676,1994-06-22,494028.41,307.00
Customer#001081807,1081807,8075589,1996-08-23,492479.61,316.00
Customer#001200979,1200979,1971680,1995-06-14,492188.43,308.00
Customer#000183694,183694,22855844,1996-01-15,490873.67,307.00
Customer#001386731,1386731,50776837,1993-10-22,490144.86,305.00
Customer#000395026,395026,54915267,1998-01-23,489692.83,309.00
Customer#001322986,1322986,23129479,1992-08-20,487578.40,308.00
Customer#000660979,660979,5007490,1992-08-07,486469.84,304.00
Customer#000648478,648478,47773829,1998-01-20,485897.71,312.00
Customer#000109402,109402,10612710,1995-02-05,484659.70,319.00
Customer#000850192,850192,29805379,1994-06-07,483666.61,302.00
Customer#000356227,356227,34130272,1995-10-03,483390.93,305.00
Customer#001205237,1205237,56741287,1993-03-25,481622.72,304.00
Customer#000888748,888748,983201,1993-12-30,478942.53,304.00
Customer#000931621,931621,9436480,1992-05-22,475149.76,311.00
Customer#001492525,1492525,54765253,1997-02-02,473216.37,304.00
Customer#000749695,749695,27531430,1996-11-22,472346.13,310.00
Customer#000885607,885607,10858721,1998-06-03,471711.04,306.00
Customer#000747890,747890,28916832,1995-09-12,471697.98,301.00
Customer#000475565,475565,37828134,1996-03-22,470601.86,312.00
Customer#000704620,704620,56788359,1992-09-28,470299.91,304.00
Customer#001073371,1073371,40356833,1998-04-29,467532.60,315.00
Customer#000893602,893602,49896961,1994-02-25,467499.95,304.00
Customer#000099403,99403,23957318,1998-06-16,467439.67,306.00
Customer#001209827,1209827,12314084,1994-05-16,467104.78,325.00
Customer#000139399,139399,2232932,1997-04-13,465969.72,304.00
Customer#000216376,216376,52679876,1998-06-28,464931.33,302.00
Customer#000952054,952054,39949734,1996-01-14,462269.84,303.00
Customer#000813242,813242,52469894,1994-06-13,462113.34,307.00
Customer#001000984,1000984,51841767,1996-02-08,461999.35,312.00
Customer#001320809,1320809,40714112,1992-09-04,461430.51,308.00
Customer#001316167,1316167,16139072,1993-02-28,460985.73,304.00
Customer#000482590,482590,20649506,1995-06-20,460749.05,313.00
Customer#001244375,1244375,28506404,1997-09-09,460741.59,303.00
Customer#001394044,1394044,46837987,1993-03-25,459742.36,304.00
Customer#000390472,390472,15960071,1996-07-09,457757.23,303.00
Customer#000885160,885160,31121184,1997-01-04,456944.08,304.00
Customer#000138664,138664,51553093,1996-01-14,456423.52,308.00
Customer#000109817,109817,10408580,1994-09-03,454420.76,320.00
Customer#000184621,184621,44800711,1994-03-19,452779.73,310.00
Customer#001247473,1247473,19546182,1996-02-08,450798.84,307.00
Customer#001142860,1142860,48920836,1996-02-10,448706.93,307.00
Customer#001155805,1155805,6082306,1995-07-07,448566.00,301.00
Customer#000163393,163393,19738853,1996-12-25,445877.62,305.00
Customer#001158283,1158283,31587747,1998-06-02,445376.85,308.00
Customer#000178150,178150,31165796,1993-07-09,444029.92,302.00
Customer#000059597,59597,18871616,1992-07-31,443986.59,312.00
Customer#001186241,1186241,38465697,1995-06-22,442072.62,305.00
Customer#000741815,741815,23166179,1992-09-14,440073.04,301.00
Customer#000672997,672997,39353991,1996-09-25,438225.55,303.00
Customer#001046990,1046990,31105221,1994-08-21,437942.58,302.00
Customer#001180559,1180559,19217698,1993-03-26,437603.57,316.00
Customer#000318334,318334,45231655,1993-10-18,437458.72,302.00
Customer#000500063,500063,2366755,1996-12-09,436460.49,302.00
Customer#000831784,831784,40021697,1996-05-06,435200.01,303.00
Customer#001160435,1160435,8754087,1996-01-21,434630.52,306.00
Customer#001000327,1000327,19427463,1994-07-03,433503.67,301.00
Customer#000308573,308573,30338976,1995-05-31,432454.29,303.00
Customer#001052596,1052596,5296167,1996-09-06,432171.16,303.00
Customer#000824254,824254,58982979,1998-05-21,429130.84,305.00
Customer#000827614,827614,14211942,1995-06-28,428470.62,302.00
Customer#000247000,247000,52032003,1997-01-06,426353.48,303.00
Customer#000181871,181871,3037414,1995-01-25,425161.76,308.00
Customer#001233497,1233497,59565889,1993-06-22,421893.98,306.00
Customer#000542321,542321,20524164,1995-03-04,420981.90,309.00
Customer#000986407,986407,48307430,1996-07-26,420739.23,303.00
Customer#000156304,156304,1845057,1994-05-12,419218.24,302.00
Customer#001054093,1054093,4478371,1996-03-05,416436.71,302.00
Customer#000772597,772597,1436544,1992-09-12,413488.39,307.00
Customer#000675142,675142,48085603,1994-01-18,409181.33,309.00
Customer#001323217,1323217,39837541,1995-08-11,409135.94,305.00
Customer#001199881,1199881,1544643,1997-09-20,406906.07,320.00
Customer#000070007,70007,6899299,1995-06-09,406777.26,304.00
Customer#000495029,495029,43322471,1996-03-31,403578.93,302.00
Customer#001288183,1288183,48943904,1996-07-22,398081.59,325.00
Customer#000821671,821671,22897223,1998-01-24,395714.11,309.00
Customer#001400449,1400449,18923648,1997-08-31,394435.24,305.00
Customer#000750967,750967,53601824,1997-05-19,392320.49,306.00
Customer#000963085,963085,13683589,1995-06-08,384769.28,313.00
Customer#001470748,1470748,47452993,1993-01-06,365823.23,301.00
Customer#000248779,248779,12563331,1993-06-02,365315.83,301.00
Customer#000750967,750967,17612003,1996-02-05,359071.37,302.00
