nation,o_year,sum_profit
ALGERIA,1998,271504180.15
ALGERIA,1997,457036189.02
ALGERIA,1996,457125410.10
ALGERIA,1995,460972708.35
ALGERIA,1994,456445177.89
ALGERIA,1993,456450131.99
ALGERIA,1992,459548569.71
ARGENTINA,1998,277793120.08
ARGENTINA,1997,467556120.12
ARGENTINA,1996,473886420.89
ARGENTINA,1995,468457461.93
ARGENTINA,1994,467072182.13
ARGENTINA,1993,469524222.09
ARGENTINA,1992,471169890.17
BRAZIL,1998,278153120.27
BRAZIL,1997,460597427.30
BRAZIL,1996,465471801.55
BRAZIL,1995,466392174.56
BRAZIL,1994,466833896.53
BRAZIL,1993,458908977.13
BRAZIL,1992,468249699.80
CANADA,1998,275439228.26
CANADA,1997,474082313.73
CANADA,1996,477716803.08
CANADA,1995,473132804.42
CANADA,1994,481016823.83
CANADA,1993,472953780.51
CANADA,1992,481805872.30
CHINA,1998,272070776.63
CHINA,1997,455987348.36
CHINA,1996,461550817.06
CHINA,1995,459802644.59
CHINA,1994,468364584.82
CHINA,1993,461342916.46
CHINA,1992,459531476.69
EGYPT,1998,275826596.65
EGYPT,1997,468914658.00
EGYPT,1996,480846416.55
EGYPT,1995,463269975.52
EGYPT,1994,474777406.24
EGYPT,1993,470918677.61
EGYPT,1992,471122830.60
ETHIOPIA,1998,267715453.81
ETHIOPIA,1997,463042333.46
ETHIOPIA,1996,462188970.59
ETHIOPIA,1995,463533586.01
ETHIOPIA,1994,462007614.94
ETHIOPIA,1993,461582755.53
ETHIOPIA,1992,467185656.53
FRANCE,1998,266844021.31
FRANCE,1997,458070976.50
FRANCE,1996,461296706.52
FRANCE,1995,466048146.72
FRANCE,1994,462635167.56
FRANCE,1993,456729548.84
FRANCE,1992,464519831.13
GERMANY,1998,277397684.60
GERMANY,1997,470119871.65
GERMANY,1996,461596491.53
GERMANY,1995,465598107.91
GERMANY,1994,476318137.87
GERMANY,1993,470911524.77
GERMANY,1992,465348205.20
INDIA,1998,276060985.21
INDIA,1997,461350205.29
INDIA,1996,465503269.00
INDIA,1995,476533589.79
INDIA,1994,470640884.24
INDIA,1993,476167045.40
INDIA,1992,468465306.22
INDONESIA,1998,263887813.29
INDONESIA,1997,459758657.35
INDONESIA,1996,463749005.35
INDONESIA,1995,455828174.22
INDONESIA,1994,465148264.43
INDONESIA,1993,459510309.85
INDONESIA,1992,459790577.06
IRAN,1998,276956659.80
IRAN,1997,461123451.32
IRAN,1996,464968702.44
IRAN,1995,471162375.53
IRAN,1994,474786214.49
IRAN,1993,469563065.43
IRAN,1992,465465955.15
IRAQ,1998,277185018.44
IRAQ,1997,466378809.99
IRAQ,1996,480134143.96
IRAQ,1995,466034292.57
IRAQ,1994,470968617.61
IRAQ,1993,473233730.11
IRAQ,1992,474325846.52
JAPAN,1998,274676608.04
JAPAN,1997,468355759.73
JAPAN,1996,463254432.46
JAPAN,1995,462211279.64
JAPAN,1994,476425990.13
JAPAN,1993,477906161.38
JAPAN,1992,472251695.74
JORDAN,1998,271011407.07
JORDAN,1997,459687296.41
JORDAN,1996,456381266.71
JORDAN,1995,464096030.04
JORDAN,1994,466714442.95
JORDAN,1993,462387977.31
JORDAN,1992,463531677.74
KENYA,1998,278319233.88
KENYA,1997,477086822.53
KENYA,1996,482408183.38
KENYA,1995,473877458.35
KENYA,1994,471783910.65
KENYA,1993,475482627.26
KENYA,1992,476118049.49
MOROCCO,1998,272104008.52
MOROCCO,1997,465001680.51
MOROCCO,1996,469665295.46
MOROCCO,1995,475547809.93
MOROCCO,1994,464207075.85
MOROCCO,1993,462506795.47
MOROCCO,1992,466178595.26
MOZAMBIQUE,1998,273890334.65
MOZAMBIQUE,1997,460348176.96
MOZAMBIQUE,1996,459930152.80
MOZAMBIQUE,1995,451531003.91
MOZAMBIQUE,1994,462880627.30
MOZAMBIQUE,1993,456798899.56
MOZAMBIQUE,1992,452818382.94
PERU,1998,267707831.87
PERU,1997,461492662.36
PERU,1996,465131598.11
PERU,1995,461370471.84
PERU,1994,465770877.18
PERU,1993,467123722.37
PERU,1992,467445384.48
ROMANIA,1998,269548967.98
ROMANIA,1997,460428983.45
ROMANIA,1996,459940826.93
ROMANIA,1995,460999242.76
ROMANIA,1994,452638669.00
ROMANIA,1993,465847668.51
ROMANIA,1992,468845163.26
RUSSIA,1998,275798617.38
RUSSIA,1997,468793432.18
RUSSIA,1996,464463834.13
RUSSIA,1995,463464693.73
RUSSIA,1994,459885145.01
RUSSIA,1993,462392415.08
RUSSIA,1992,468381153.90
SAUDI ARABIA,1998,279378264.26
SAUDI ARABIA,1997,467653788.61
SAUDI ARABIA,1996,478596541.28
SAUDI ARABIA,1995,477055660.37
SAUDI ARABIA,1994,471085586.46
SAUDI ARABIA,1993,468645587.66
SAUDI ARABIA,1992,479819338.17
UNITED KINGDOM,1998,269932266.32
UNITED KINGDOM,1997,463575745.57
UNITED KINGDOM,1996,467451422.15
UNITED KINGDOM,1995,465309199.71
UNITED KINGDOM,1994,466317604.76
UNITED KINGDOM,1993,467141110.18
UNITED KINGDOM,1992,464629620.89
UNITED STATES,1998,271746837.03
UNITED STATES,1997,466200510.42
UNITED STATES,1996,466727137.55
UNITED STATES,1995,470797296.78
UNITED STATES,1994,476448065.27
UNITED STATES,1993,460120665.57
UNITED STATES,1992,468158019.25
VIETNAM,1998,272979647.98
VIETNAM,1997,473777826.98
VIETNAM,1996,466049009.60
VIETNAM,1995,468658426.48
VIETNAM,1994,478019862.59
VIETNAM,1993,469272145.54
VIETNAM,1992,463963175.45
