cntrycode,numcust,totacctbal
30,1,7638.57
18,1,8324.07
23,1,9255.67
13,1,5679.84
31,1,9331.13
18,1,6323.92
29,1,8462.17
17,1,9127.27
29,1,8732.91
18,1,6268.99
13,1,8737.50
30,1,7250.14
23,1,8893.20
30,1,6868.12
17,1,9192.50
30,1,7276.72
17,1,8084.92
13,1,9339.57
31,1,8824.78
30,1,7718.77
18,1,8762.16
30,1,8244.73
18,1,7358.53
29,1,7818.25
13,1,7665.98
18,1,5678.18
31,1,9165.47
31,1,7487.40
18,1,8635.18
17,1,7997.81
29,1,5342.82
31,1,8475.17
30,1,6344.66
29,1,8161.13
17,1,7029.24
29,1,8729.97
30,1,5295.26
31,1,4999.31
13,1,6253.81
30,1,8947.26
30,1,5683.33
30,1,9097.52
18,1,9874.12
29,1,8059.51
29,1,5740.00
29,1,9076.68
18,1,8601.63
18,1,9850.64
17,1,8421.87
23,1,7790.94
13,1,6914.87
31,1,8581.78
18,1,9726.83
13,1,8427.55
30,1,6019.10
30,1,6319.21
13,1,6287.79
29,1,9510.87
29,1,9088.54
31,1,7582.29
30,1,8437.76
18,1,8124.15
30,1,6936.72
18,1,6539.15
31,1,6865.14
30,1,8972.46
23,1,8713.24
30,1,5139.00
18,1,7004.90
17,1,5348.40
23,1,5805.81
17,1,7086.97
13,1,7591.90
13,1,8460.48
23,1,9983.09
17,1,6323.48
23,1,6388.82
17,1,8996.02
31,1,5305.86
29,1,5065.00
17,1,5447.72
30,1,6900.08
18,1,8808.00
18,1,6338.28
17,1,6921.50
13,1,9986.13
29,1,9323.31
13,1,5389.05
31,1,9846.97
23,1,5331.37
29,1,7378.35
17,1,8243.80
30,1,8306.29
17,1,9925.39
13,1,5019.36
29,1,6862.64
18,1,9476.97
30,1,8385.53
29,1,7599.36
29,1,7271.76
29,1,7387.29
23,1,8598.37
30,1,9650.18
17,1,8267.46
18,1,9142.11
30,1,7541.93
17,1,5570.45
18,1,6151.56
30,1,8978.08
31,1,8151.79
13,1,9107.47
29,1,5288.45
17,1,9756.04
30,1,9784.75
29,1,5728.40
17,1,5998.64
13,1,8286.22
31,1,6261.94
18,1,9226.63
17,1,5263.92
23,1,8773.22
31,1,7684.36
31,1,7121.55
17,1,5058.57
18,1,5460.63
23,1,8081.40
17,1,5759.17
13,1,9406.97
23,1,5497.53
18,1,5549.26
30,1,7449.99
17,1,9160.13
23,1,9408.58
31,1,7654.18
17,1,9945.83
31,1,7615.19
31,1,6595.64
23,1,9000.29
29,1,5438.20
31,1,9458.14
17,1,9798.74
30,1,7109.28
23,1,8235.04
17,1,5729.98
23,1,7945.16
13,1,9972.02
