nation,o_year,sum_profit
ALGERIA,1998,412581780.0200
ALGERIA,1997,702022285.1132
ALGERIA,1996,699360399.3958
ALGERIA,1995,707656180.2533
ALGERIA,1994,699205927.1303
ALGERIA,1993,703934976.5822
ALGERIA,1992,704728782.9167
ARGENTINA,1998,424664505.9565
ARGENTINA,1997,714998350.4055
ARGENTINA,1996,727278029.7106
ARGENTINA,1995,719214386.3221
ARGENTINA,1994,718498303.1190
ARGENTINA,1993,717200824.8377
ARGENTINA,1992,723899337.9360
BRAZIL,1998,426160216.2066
BRAZIL,1997,705315452.7619
BRAZIL,1996,712999646.2231
BRAZIL,1995,712451617.8377
BRAZIL,1994,713454177.1159
BRAZIL,1993,707913660.4224
BRAZIL,1992,717515408.1462
CANADA,1998,425204719.2158
CANADA,1997,728443318.4021
CANADA,1996,734156949.2128
CANADA,1995,725235269.9390
CANADA,1994,735899835.2607
CANADA,1993,727825863.3456
CANADA,1992,737324548.5643
CHINA,1998,418729724.6209
CHINA,1997,700745776.4552
CHINA,1996,711649870.4878
CHINA,1995,707294000.4955
CHINA,1994,718416720.1231
CHINA,1993,709728477.0826
CHINA,1992,707226435.4638
EGYPT,1998,421679492.3396
EGYPT,1997,722191312.5951
EGYPT,1996,734736664.8065
EGYPT,1995,712829683.9501
EGYPT,1994,724369906.1367
EGYPT,1993,724518751.7768
EGYPT,1992,726618186.5570
ETHIOPIA,1998,414790009.3339
ETHIOPIA,1997,709797937.9292
ETHIOPIA,1996,712235196.4215
ETHIOPIA,1995,713984145.5990
ETHIOPIA,1994,712975221.4377
ETHIOPIA,1993,714334055.3568
ETHIOPIA,1992,719105787.7731
FRANCE,1998,410439876.1851
FRANCE,1997,706290636.6790
FRANCE,1996,710837280.9246
FRANCE,1995,716122842.9008
FRANCE,1994,708201736.1823
FRANCE,1993,703134451.6575
FRANCE,1992,710707599.3243
GERMANY,1998,425096161.5680
GERMANY,1997,724453335.9023
GERMANY,1996,710671840.4685
GERMANY,1995,720776972.7941
GERMANY,1994,733356384.3169
GERMANY,1993,721435830.1925
GERMANY,1992,714206956.1524
INDIA,1998,424767127.7458
INDIA,1997,709559594.3464
INDIA,1996,719347287.6762
INDIA,1995,734937534.8934
INDIA,1994,725295811.3014
INDIA,1993,732699066.9811
INDIA,1992,722638907.6155
INDONESIA,1998,410252213.0805
INDONESIA,1997,706743407.6457
INDONESIA,1996,714661334.4078
INDONESIA,1995,703789480.1056
INDONESIA,1994,717075300.4312
INDONESIA,1993,708080970.6060
INDONESIA,1992,707525656.7541
IRAN,1998,425322561.7303
